norma;data;obs;tam_cp;tam_min;arena;orgao
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;presidencial;Gabinete Militar
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;presidencial;I - Conselho de Segurança Nacional.
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;presidencial;II - Conselho de Desenvolvimento Econômico.
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;presidencial;IV - Serviço Nacional de Informações.
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;presidencial;V - Estado-Maior das Forças Armadas.
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;presidencial;VI - Departamento Administrativo do Pessoal Civil.
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;presidencial;VII - Consultoria-Geral da República.
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;presidencial;VIII - Alto Comando das Forças Armadas.
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério da Justiça
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério das Relações Exteriores
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério da Fazenda
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério dos Transportes
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério da Agricultura
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério da Indústria e do Comércio
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério das Minas e Energia
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério do Interior
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério da Educação e Cultura
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério do Trabalho
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério da Previdência e Assistência Social
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério da Saúde
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério das Comunicações
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério da Marinha
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério do Exército
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;ministerial;Ministério da Aeronáutica
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;presidencial;Gabinete Civil
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;presidencial;Gabinete Militar
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;presidencial;I - Conselho de Segurança Nacional
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;presidencial;II - Conselho de Desenvolvimento Econômico
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;presidencial;III - Conselho de Desenvolvimento Social
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;presidencial;IV - Secretaria de Planejamento
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;presidencial;V - Serviço Nacional de Informações
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;presidencial;VI - Estado-Maior das Forças Armadas
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;presidencial;VII - Departamento Administrativo do Pessoal Civil
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;presidencial;VIII - Consultoria Geral da República
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;presidencial;IX - Alto Comando das Forças Armadas
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério da Justiça
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério das Relações Exteriores
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério da Fazenda
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério dos Transportes
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério da Agricultura
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério da Indústria e do Comércio
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério das Minas e Energia
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério do Interior
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério da Educação e Cultura
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério do Trabalho
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério da Previdência e Assistência Social
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério da Saúde
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério das Comunicações
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério da Marinha
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério do Exército
LEI Nº 6.118, DE 9 DE OUTUBRO DE 1974;09/10/1974;Será pesquisado e preenchido posteriormente.;11;16;ministerial;Ministério da Aeronáutica
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;Gabinete Civil
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;Gabinete Militar
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"I - Conselho de Segurança Nacional;"
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"II - Conselho de Desenvolvimento Econômico;"
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"III - Conselho de Desenvolvimento Social;"
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"IV - Secretaria de Planejamento;"
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"V - Serviço Nacional de Informações;"
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"VI - Estado-Maior das Formas Armadas;"
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"VII - Secretaria de Comunicação Social;"
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"VIII - Departamento Administrativo do Serviço Público;"
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"IX - Consultoria-Geral da República;"
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;presidencial;X - Alto-Comando das Forças Armadas.
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Justiça
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério das Relações Exteriores
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Fazenda
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério dos Transportes
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Agricultura
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Indústria e do Comércio
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério das Minas e Energia
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério do Interior
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Educação e Cultura
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério do Trabalho
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Previdência e Assistência Social
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Saúde
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério das Comunicações
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Marinha
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério do Exército
LEI No 6.650, DE 23 DE MAIO DE 1979.;23/05/1979;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Aeronáutica
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;Gabinete Civil
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;Gabinete Militar
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"I - o Conselho de Segurança Nacional;"
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"II - o Conselho de Desenvolvimento Econômico;"
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"III - o Conselho de Desenvolvimento Social;"
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"IV - a Secretaria de Planejamento;"
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"V - o Serviço Nacional de Informações;"
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"VI - o Estado-Maior das Forças Armadas;"
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"VII - o Departamento Administrativo do Serviço Público;"
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"VIII - a Consultoria-Geral da República;"
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;"IX - o Alto Comando das Forças Armadas;"
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;presidencial;X - o Conselho Nacional de Informática e Automação.
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Justiça
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério das Relações Exteriores
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Fazenda
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério dos Transportes
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Agricultura
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Indústria e do Comércio
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério das Minas e Energia
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério do Interior
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Educação e Cultura
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério do Trabalho
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Previdência e Assistência Social
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Saúde
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério das Comunicações
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Marinha
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério do Exército
LEI Nº 7.232, DE 29 DE OUTUBRO DE 1984.;29/10/1984;Será pesquisado e preenchido posteriormente.;12;16;ministerial;Ministério da Aeronáutica
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;Gabinete Civil
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;Gabinete Militar
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"a Secretaria de Assessoramento da Defesa Nacional;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"o Serviço Nacional de Informações;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"o Alto Comando das Forças Armadas;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"o Estado-Maior das Forças Armadas;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"o Conselho de Desenvolvimento Econômico;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"o Conselho de Desenvolvimento Social;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"o Conselho Nacional de Informática e Automação;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"a Secretaria de Planejamento e Coordenação; e"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;a Consultoria-Geral da República.
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"I - da Justiça;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"II - da Marinha;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"III - do Exército;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"IV - das Relações Exteriores;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"V - da Fazenda;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"VI - dos Transportes;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"VII - da Agricultura;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"VIII - da Educação;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"IX - do Trabalho;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"X - da Aeronáutica;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"XI - da Saúde;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"XII - do Desenvolvimento Industrial, Ciência e Tecnologia;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"XIII - das Minas e Energia;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"XIV - do Interior;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"XV - das Comunicações;"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"XVI - da Previdência e Assistência Social; e"
MEDIDA PROVISÓRIA Nº 39, DE 15 DE FEVEREIRO DE 1989;15/02/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;XVII - da Cultura.
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;Gabinete Civil
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;Gabinete Militar
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"a) a Secretaria de Assessoramento da Defesa Nacional;"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"b) o Serviço Nacional de Informações;"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"c) o Alto Comando das Forças Armadas;"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"d) o Estado-Maior das forças Armadas;"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"e) o Conselho de Desenvolvimento Econômico;"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"f) o Conselho de Desenvolvimento Social;"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"g) o Conselho Nacional de Informática e Automação;"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;"h) a Secretaria de Planejamento e Coordenação; e"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;presidencial;i) a Consultoria-Geral da República.
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"I - da Justiça;"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"II - da Marinha;"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"III - do Exército;"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"IV - das Relações Exteriores;"
LEI Nº 7.739, DE 16 DE MARÇO DE 1989;16/03/1989;Será pesquisado e preenchido posteriormente.;11;17;ministerial;"V - da Fazenda;"
